class	name	mean	sem	n
eca	rule 0	0.0000	0.0000	40
family	$P_a$ (bare)	0.0250	0.0250	40
dial	blend $1.00$	0.0250	0.0250	40
family	braid $P_a$/two-4	0.1250	0.0891	40
dial	mutation $0.10$	0.2250	0.1581	40
dial	braid + blend $0.70$	0.3750	0.2624	40
dial	async update $0.25$	0.4750	0.2087	40
dial	niches $P_a$/two-4 (8)	0.5000	0.2931	40
dial	blend $0.70$	0.5500	0.3507	40
dial	niches $P_a$/two-4 (16)	0.7250	0.3339	40
dial	async update $0.75$	0.7500	0.4079	40
dial	mutation $0.40$	0.8500	0.3331	40
eca	rule 204	1.0000	0.0000	40
dial	transport $0.00$	1.1000	0.2019	40
dial	preserving limit	1.1000	0.2019	40
gain-grid	switch agree $9/9$, transport $1.00$/hold	1.1875	0.1122	160
exotype	hold	1.2063	0.1139	160
gain-grid	switch agree $7/7$, transport $1.00$/hold	1.2437	0.1172	160
gain-grid	switch agree $5/5$, transport $1.00$/hold	1.3938	0.1279	160
exotype	exotype	1.4438	0.1525	160
dial	ungated $0.20$	1.6500	0.4731	40
dial	ungated $0.35$	1.6750	0.4632	40
dial	ungated $0.50$	1.7750	0.6309	40
gain-grid	switch agree $6/7$, transport $1.00$/hold	1.9187	0.1922	160
gain-frozen	switch FROZEN agree $7/9$, transport $1.00$/hold	2.0250	0.1618	160
family	rot$+1$	2.0500	0.6650	40
dial	transport $0.05$	2.1750	0.5381	40
dial	ungated $0.75$	2.7750	0.6165	40
gain-random	switch random $0.099417$, transport $1.00$/hold	2.7812	0.2781	160
gain-frozen	switch FROZEN agree $4/5$, transport $1.00$/hold	2.8125	0.1804	160
gain-grid	switch agree $7/9$, transport $1.00$/hold	2.9688	0.2883	160
dial	blend $0.35$	3.3750	0.9300	40
exotype	explore	3.3813	0.2756	160
exotype	switch transport $1.00$/hold	3.5063	0.3156	160
gain-random	switch random $0.120172$, transport $1.00$/hold	3.5562	0.3060	160
dial	ungated $1.00$	4.0500	1.0603	40
dial	transport $0.10$	4.2500	0.8695	40
gain-frozen	switch FROZEN agree $5/7$, transport $1.00$/hold	4.5750	0.2817	160
family	braid rot$+2$/rot$+4$	5.2000	1.1181	40
gain-random	switch random $0.236886$, transport $1.00$/hold	6.0812	0.4178	160
gain-sweep	switch agree $4/5$, transport $1.00$/hold	6.6813	0.4847	160
eca	rule 90	8.0000	0.0000	40
dial	blend $0.00$	8.1500	1.0325	40
dial	transport $0.20$	9.4250	1.0506	40
gain-frozen	switch FROZEN agree $4/7$, transport $1.00$/hold	12.0125	0.4477	160
gain-frozen	switch FROZEN agree $5/9$, transport $1.00$/hold	12.4812	0.4406	160
gain-frozen	switch FROZEN agree $3/5$, transport $1.00$/hold	13.2562	0.4883	160
gain-frozen	switch FROZEN agree $2/3$, transport $1.00$/hold	13.2688	0.4830	160
dial	transport $0.35$	14.4500	1.3368	40
gain-random	switch random $0.646794$, transport $1.00$/hold	14.8750	0.7387	160
eca	rule 110	16.6750	1.5302	40
gain-random	switch random $0.683199$, transport $1.00$/hold	17.7375	0.7579	160
eca	rule 54	18.3000	1.7469	40
gain-sweep	switch agree $5/7$, transport $1.00$/hold	18.4937	0.8332	160
dial	transport $0.50$	19.2750	1.6184	40
gain-random	switch random $0.935261$, transport $1.00$/hold	22.0375	0.8867	160
dial	transport $1.00$	25.3750	1.8091	40
gain-grid	switch agree $2/3$, transport $1.00$/hold	25.8625	0.7269	160
dial	transport $0.75$	26.0500	1.5856	40
gain-sweep	switch agree $2/5$, transport $1.00$/hold	30.3813	0.9246	160
gain-sweep	switch agree $3/5$, transport $1.00$/hold	33.1562	0.6712	160
eca	rule 30	36.4500	1.1580	40
gain-sweep	switch agree $4/7$, transport $1.00$/hold	36.7812	0.5109	160
gain-grid	switch agree $5/9$, transport $1.00$/hold	38.2313	0.6018	160
